"model_name","variable_name","decomp_group","Date","value"
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-02-21,-14379.322686768
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-02-21,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-02-21,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-02-21,67486.1153221297
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-02-21,-161074.013009902
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-02-21,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-02-21,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-02-21,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-02-21,119525.007578922
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-02-21,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-02-21,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-02-21,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-02-21,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-02-21,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-02-21,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-02-21,53669.7250401785
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-02-21,29804.6158196054
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-02-21,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-02-21,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-02-21,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-02-21,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-02-21,3174.6076439957
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-02-28,33070.5346264442
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-02-28,-15141.6034455296
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-02-28,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-02-28,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-02-28,77727.4351678648
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-02-28,-161074.013009902
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-02-28,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-02-28,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-02-28,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-02-28,92963.8947836062
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-02-28,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-02-28,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-02-28,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-02-28,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-02-28,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-02-28,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-02-28,98180.1803506198
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-02-28,34536.3816911509
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-02-28,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-02-28,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-02-28,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-02-28,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-02-28,1991.59315213455
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-03-07,37641.7177403384
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-03-07,-25196.0470707264
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-03-07,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-03-07,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-03-07,79434.3222761463
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-03-07,-161074.013009902
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-03-07,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-03-07,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-03-07,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-03-07,79683.3383859481
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-03-07,1073729.52196985
"multiples_pna_glass_330ml_12pack","m_ooh_peroni_total_sp_adstock30","ooh_peroni",2021-03-07,0
"multiples_pna_glass_330ml_12pack","m_spotify_peroni_im","spotify_peroni",2021-03-07,0
"multiples_pna_glass_330ml_12pack","m_tv_peroni_total_tvr_adstock60","tv_peroni",2021-03-07,0
"multiples_pna_glass_330ml_12pack","m_yt_peroni_im","youtube_peroni",2021-03-07,0
"multiples_pna_glass_330ml_12pack","mod_bp_multiples_pna_glass_330ml_12pack","price",2021-03-07,0
"multiples_pna_glass_330ml_12pack","mod_discount_multiples_pna_glass_330ml_12pack","promo",2021-03-07,107323.377685232
"multiples_pna_glass_330ml_12pack","mod_featdisp_multiples_pna_glass_330ml_12pack","feature_display",2021-03-07,21718.3768593058
"multiples_pna_glass_330ml_12pack","s_christmas","seasonality",2021-03-07,0
"multiples_pna_glass_330ml_12pack","s_good_friday","seasonality",2021-03-07,0
"multiples_pna_glass_330ml_12pack","s_spring_bank_holiday","seasonality",2021-03-07,0
"multiples_pna_glass_330ml_12pack","sub_base","sub_base",2021-03-07,-1010979.26213201
"multiples_pna_glass_330ml_12pack","w_deviation_rainfall","weather",2021-03-07,-509.008629293987
"multiples_pna_glass_330ml_12pack","bt_peroni_difference_ind","brand_metric",2021-03-14,33622.9973029773
"multiples_pna_glass_330ml_12pack","c_discount_multiples_stella_artois_btl_284_ml_12_pack","comp_promo",2021-03-14,-23868.7615614595
"multiples_pna_glass_330ml_12pack","dummy_20210627","unexplained",2021-03-14,0
"multiples_pna_glass_330ml_12pack","dummy_20230402","unexplained",2021-03-14,0
"multiples_pna_glass_330ml_12pack","e_cci","economy",2021-03-14,79434.3222761463
"multiples_pna_glass_330ml_12pack","e_unemployment","economy",2021-03-14,-161074.013009902
"multiples_pna_glass_330ml_12pack","events_peroni_rugby_world_cup_23","events",2021-03-14,0
"multiples_pna_glass_330ml_12pack","events_peroni_uefa_21","events",2021-03-14,0
"multiples_pna_glass_330ml_12pack","events_rugby_wc_final","events",2021-03-14,0
"multiples_pna_glass_330ml_12pack","gt_peroni","google_trend",2021-03-14,84995.5609450114
"multiples_pna_glass_330ml_12pack","intercept","sub_base",2021-03-14,1073729.52196985
